iter	Accuracy	Logloss
0	0.7834339948	0.6773164721
1	0.7897612885	0.6606295917
2	0.7968075928	0.6457377632
3	0.7900488927	0.6334488701
4	0.7887546736	0.6207738308
5	0.7927811332	0.6098402486
6	0.7930687374	0.5996673896
7	0.7975266034	0.5885831305
8	0.7960885821	0.5808127271
9	0.8009778545	0.5709994649
10	0.800402646	0.5624794047
11	0.8002588438	0.5542454438
12	0.8011216566	0.5467510313
13	0.8012654587	0.5385117961
14	0.8022720736	0.533179318
15	0.8021282715	0.5274125615
16	0.8024158758	0.5222075122
17	0.8008340523	0.5162935051
18	0.8024158758	0.5103604491
19	0.8028472821	0.505494555
20	0.8021282715	0.5010900018
21	0.8044291056	0.4968354542
22	0.8050043141	0.4938660964
23	0.8050043141	0.4897285064
24	0.8065861375	0.4864626438
25	0.8062985332	0.4836138577
26	0.806010929	0.4806638599
27	0.8064423353	0.4776842745
28	0.8057233247	0.4759655835
29	0.806010929	0.4729128897
30	0.8068737417	0.4690063675
31	0.8068737417	0.4665959622
32	0.807161346	0.4643396247
33	0.807161346	0.4623358204
34	0.8077365545	0.459085366
35	0.808311763	0.4567492976
36	0.80946218	0.4543572187
37	0.8096059822	0.4524281001
38	0.8103249928	0.4499839408
39	0.8106125971	0.4480597078
40	0.8107563992	0.4463015684
41	0.8113316077	0.4440848943
42	0.8107563992	0.4424894748
43	0.8106125971	0.4407983097
44	0.8107563992	0.4388526568
45	0.8111878056	0.4374720609
46	0.8113316077	0.4357335215
47	0.811619212	0.4338381381
48	0.811619212	0.4315734034
49	0.8117630141	0.4302384893
50	0.812769629	0.4286825925
51	0.8121944205	0.4273394305
52	0.8133448375	0.4261912425
53	0.812769629	0.4249042263
54	0.8126258269	0.4233527543
55	0.8130572332	0.422317822
56	0.8132010354	0.421118863
57	0.8134886396	0.4202230452
58	0.8136324418	0.4194507623
59	0.813920046	0.4182263101
60	0.8147828588	0.4164866257
61	0.8149266609	0.4155503293
62	0.8153580673	0.4149423033
63	0.8159332758	0.4138943373
64	0.8159332758	0.4127990908
65	0.8159332758	0.4112944903
66	0.8159332758	0.4105645718
67	0.8167960886	0.4093710778
68	0.8173712971	0.4085200244
69	0.8178027035	0.4072078301
70	0.8179465056	0.4063411796
71	0.8176589014	0.4051486043
72	0.8182341099	0.4044024548
73	0.8185217141	0.4032024704
74	0.8190969226	0.4025067291
75	0.8196721311	0.40184759
76	0.8192407248	0.4010874548
77	0.8199597354	0.399880981
78	0.8208225482	0.3991521467
79	0.820678746	0.3983703756
80	0.8208225482	0.3977002837
81	0.820678746	0.3963257097
82	0.8213977567	0.3954074977
83	0.8215415588	0.3947247684
84	0.8219729652	0.3939305743
85	0.8216853609	0.3932957757
86	0.8216853609	0.3921025454
87	0.8218291631	0.3916257092
88	0.8221167673	0.3911213709
89	0.8224043716	0.3905544706
90	0.8221167673	0.3899934206
91	0.8224043716	0.3893724085
92	0.8224043716	0.3889304369
93	0.8224043716	0.3882913687
94	0.822835778	0.3872765719
95	0.8232671844	0.3863319322
96	0.822835778	0.3858191795
97	0.822835778	0.3853623071
98	0.8229795801	0.3846833403
99	0.8229795801	0.3843139
100	0.8245614035	0.3833752281
101	0.8242737993	0.3830419908
102	0.8245614035	0.3824560102
103	0.8247052056	0.3819460163
104	0.8248490078	0.3815308189
105	0.8248490078	0.3811719607
106	0.8254242163	0.3807366116
107	0.825136612	0.3799964413
108	0.8252804142	0.3796996115
109	0.8258556227	0.3790266866
110	0.8254242163	0.3787617993
111	0.8261432269	0.3781870592
112	0.8264308312	0.3778606623
113	0.8258556227	0.3772819755
114	0.8255680184	0.3767102378
115	0.8268622376	0.3762013088
116	0.8259994248	0.3757437354
117	0.8259994248	0.3752824619
118	0.8261432269	0.3748117392
119	0.8267184354	0.3743429312
120	0.8268622376	0.3740110307
121	0.8267184354	0.3736042328
122	0.8270060397	0.3728536824
123	0.8275812482	0.3722707751
124	0.8280126546	0.3717687295
125	0.8275812482	0.3713945211
126	0.8287316652	0.3707049176
127	0.8285878631	0.3700140597
128	0.8293068737	0.36944551
129	0.8293068737	0.3687088838
130	0.8293068737	0.3684384078
131	0.8291630716	0.3679777342
132	0.8288754674	0.3676913225
133	0.8294506759	0.3668620603
134	0.829594478	0.3664293209
135	0.829594478	0.3661101105
136	0.8300258844	0.3655700467
137	0.8303134886	0.3651859383
138	0.8303134886	0.3648181935
139	0.8303134886	0.3646366946
140	0.8310324993	0.3639157524
141	0.8310324993	0.3635899217
142	0.8314639057	0.363346825
143	0.8323267184	0.362603354
144	0.8326143227	0.3620037752
145	0.8329019269	0.3613346323
146	0.8326143227	0.3610297064
147	0.8330457291	0.3607166068
148	0.8329019269	0.3602948427
149	0.8333333333	0.3595059079
150	0.8334771355	0.3592017487
151	0.8336209376	0.3589828436
152	0.8336209376	0.3586980248
153	0.8343399482	0.3581460793
154	0.8347713546	0.3575510542
155	0.8347713546	0.3572197143
156	0.8347713546	0.3568209151
157	0.8346275525	0.3567187204
158	0.835202761	0.3566664488
159	0.835202761	0.3562865386
160	0.8353465631	0.3558981429
161	0.836353178	0.3553461338
162	0.8364969802	0.3550289162
163	0.8364969802	0.3547704295
164	0.836353178	0.3544833441
165	0.8362093759	0.354237905
166	0.8366407823	0.353899775
167	0.8369283865	0.3533575836
168	0.8375035951	0.3530093242
169	0.8373597929	0.3526647896
170	0.8372159908	0.3524241862
171	0.8375035951	0.3520322733
172	0.8379350014	0.351614426
173	0.8379350014	0.3513386638
174	0.8377911993	0.3510612137
175	0.8377911993	0.3506818281
176	0.8379350014	0.3504808181
177	0.8377911993	0.3502135673
178	0.8377911993	0.3498532112
179	0.83851021	0.3491158627
180	0.8383664078	0.3489185221
181	0.8387978142	0.3485997235
182	0.8386540121	0.3483064637
183	0.8389416163	0.3481160489
184	0.8392292206	0.3478157285
185	0.8387978142	0.3475491716
186	0.8392292206	0.3469734326
187	0.8390854185	0.346617066
188	0.8393730227	0.3462445485
189	0.839660627	0.3459382444
190	0.8399482312	0.3456512532
191	0.8399482312	0.3455041436
192	0.8400920334	0.3452808367
193	0.8406672419	0.344881245
194	0.840811044	0.3444739627
195	0.8406672419	0.3442786558
196	0.8409548461	0.3438793969
197	0.8410986483	0.3437289047
198	0.8406672419	0.3433868138
199	0.8409548461	0.3432925684
200	0.8412424504	0.3430179567
201	0.8415300546	0.3428605701
202	0.8421052632	0.3425319878
203	0.8418176589	0.3424164503
204	0.841961461	0.3421274257
205	0.8421052632	0.3417795466
206	0.8428242738	0.3412074005
207	0.8433994823	0.3409924178
208	0.8432556802	0.3406713535
209	0.8435432844	0.3404776117
210	0.8436870866	0.3402320481
211	0.844118493	0.340044071
212	0.844118493	0.3397648882
213	0.844118493	0.339587278
214	0.8439746908	0.3393972722
215	0.844118493	0.3391470918
216	0.844118493	0.3388412242
217	0.8442622951	0.3384701291
218	0.8444060972	0.3382933114
219	0.8448375036	0.3378761404
220	0.8448375036	0.3377166604
221	0.8448375036	0.3374642503
222	0.8444060972	0.3372478778
223	0.844118493	0.3370760337
224	0.8448375036	0.3366257976
225	0.8448375036	0.3364116863
226	0.8449813057	0.3360679469
227	0.8448375036	0.3358628733
228	0.8458441185	0.3355793484
229	0.8457003164	0.3352759186
230	0.8459879206	0.3350767236
231	0.8461317227	0.334783256
232	0.8462755249	0.3344721406
233	0.8462755249	0.3343562397
234	0.8467069313	0.3340004886
235	0.8478573483	0.3336493963
236	0.8481449525	0.3333770492
237	0.8480011504	0.3331896696
238	0.8478573483	0.333063872
239	0.8482887547	0.3326873134
240	0.8482887547	0.3325399369
241	0.8487201611	0.3321770119
242	0.8490077653	0.3319330343
243	0.8491515674	0.3316738689
244	0.849726776	0.3313815462
245	0.849726776	0.3312660945
246	0.8495829738	0.3310847769
247	0.8498705781	0.3308361379
248	0.849726776	0.3306482349
249	0.8494391717	0.3304489664
250	0.8500143802	0.3301706599
251	0.8507333909	0.3298271224
252	0.8504457866	0.3295949121
253	0.8501581823	0.3291922274
254	0.8501581823	0.3288595396
255	0.8504457866	0.3287131676
256	0.8507333909	0.3284468977
257	0.8513085994	0.3281943831
258	0.8513085994	0.3278757686
259	0.8513085994	0.327626884
260	0.8517400058	0.3273790703
261	0.8515962036	0.3269744811
262	0.8513085994	0.3266411198
263	0.8513085994	0.3262466593
264	0.8514524015	0.3260646927
265	0.8518838079	0.3258669107
266	0.8517400058	0.3255592423
267	0.8518838079	0.325288249
268	0.8517400058	0.3250766475
269	0.8521714121	0.3247779365
270	0.8524590164	0.3245234166
271	0.8526028185	0.3243259863
272	0.8526028185	0.3240900039
273	0.8526028185	0.3239124166
274	0.8536094334	0.3236661445
275	0.8534656313	0.3234777055
276	0.8534656313	0.3232066515
277	0.8533218292	0.3230225823
278	0.8536094334	0.3228429112
279	0.8537532355	0.322581457
280	0.8536094334	0.3223990821
281	0.8540408398	0.3221273077
282	0.8543284441	0.3218557794
283	0.8543284441	0.3214954803
284	0.8543284441	0.3213379192
285	0.8546160483	0.321043147
286	0.8549036526	0.3206093615
287	0.8550474547	0.320184641
288	0.8551912568	0.3200782261
289	0.8551912568	0.3197930204
290	0.8547598504	0.3195690599
291	0.8549036526	0.3194187848
292	0.8550474547	0.3192377017
293	0.8551912568	0.3189171351
294	0.8559102675	0.3183915609
295	0.8561978717	0.318228064
296	0.856485476	0.3180757791
297	0.8563416739	0.3178923148
298	0.8563416739	0.3176338619
299	0.8566292781	0.3173893261
300	0.8566292781	0.3171974343
301	0.8567730802	0.3169942588
302	0.8569168824	0.316778271
303	0.8566292781	0.3164273382
304	0.8560540696	0.3162991969
305	0.8561978717	0.3160062472
306	0.8560540696	0.3156989888
307	0.8561978717	0.315555464
308	0.8567730802	0.3152426727
309	0.8574920909	0.3150515764
310	0.8574920909	0.3149308874
311	0.857635893	0.3147209278
312	0.8579234973	0.3145210647
313	0.8584987058	0.3143160053
314	0.85878631	0.3141668784
315	0.8583549037	0.3139968248
316	0.8586425079	0.3138385431
317	0.8589301122	0.3135109138
318	0.8589301122	0.313358891
319	0.8592177164	0.3131411291
320	0.8592177164	0.3127611734
321	0.8592177164	0.3124912109
322	0.8592177164	0.3123079344
323	0.8595053207	0.3121615999
324	0.8592177164	0.3119649509
325	0.8595053207	0.3116008968
326	0.8596491228	0.3113665165
327	0.8597929249	0.3111467922
328	0.8596491228	0.3106695935
329	0.8599367271	0.3104304557
330	0.8596491228	0.3102583372
331	0.8596491228	0.3100500001
332	0.8600805292	0.3098594486
333	0.8603681334	0.3094971109
334	0.8605119356	0.3093349709
335	0.860943342	0.3089993328
336	0.8607995398	0.308758454
337	0.8606557377	0.3085054569
338	0.860943342	0.3082556062
339	0.8612309462	0.3079078685
340	0.8612309462	0.3076865064
341	0.8613747483	0.3074762676
342	0.8615185505	0.3073387306
343	0.8613747483	0.3071497545
344	0.8615185505	0.3070259888
345	0.8615185505	0.3067433042
346	0.8618061547	0.3065354416
347	0.862093759	0.306326482
348	0.8622375611	0.3061379359
349	0.8625251654	0.3059379209
350	0.8629565718	0.3056554491
351	0.8628127696	0.3054912151
352	0.8626689675	0.3052898743
353	0.8628127696	0.3051914888
354	0.8625251654	0.3049361738
355	0.8628127696	0.304750531
356	0.8633879781	0.3044856215
357	0.8636755824	0.3041740408
358	0.8639631867	0.3039002507
359	0.8641069888	0.3036565039
360	0.8638193845	0.3034853547
361	0.8645383952	0.303264865
362	0.8645383952	0.303096005
363	0.8646821973	0.3029404881
364	0.8646821973	0.3026571182
365	0.8649698016	0.3023744513
366	0.8654012079	0.3022663715
367	0.8652574058	0.3021072346
368	0.8654012079	0.301811865
369	0.8654012079	0.3016178854
370	0.8656888122	0.3013447103
371	0.8661202186	0.3009876481
372	0.8661202186	0.3007329569
373	0.8664078228	0.3005691078
374	0.8666954271	0.3001049142
375	0.8666954271	0.2999819478
376	0.8671268335	0.2997744706
377	0.8669830313	0.2996569784
378	0.8671268335	0.2994470943
379	0.8672706356	0.2991621586
380	0.8675582399	0.298853332
381	0.8679896462	0.2986490241
382	0.8682772505	0.2984655075
383	0.8681334484	0.2983133827
384	0.8681334484	0.2981900836
385	0.8684210526	0.2979700843
386	0.8684210526	0.2977046711
387	0.8682772505	0.2975738065
388	0.8687086569	0.2973616711
389	0.8684210526	0.2971359095
390	0.868852459	0.2969792475
391	0.8694276675	0.2967539196
392	0.8692838654	0.2965439963
393	0.8701466782	0.2962499249
394	0.8701466782	0.2961461035
395	0.8701466782	0.2959296679
396	0.8707218867	0.295649293
397	0.8707218867	0.2951953696
398	0.8708656888	0.2948281249
399	0.8708656888	0.2946871634
400	0.8710094909	0.2945017431
401	0.8711532931	0.294247664
402	0.8714408973	0.2940248956
403	0.8717285016	0.2938122584
404	0.8718723037	0.2937100601
405	0.8717285016	0.2934047565
