iter	Passed	Remaining
0	6	4291
1	11	4067
2	17	3981
3	23	4018
4	28	4016
5	35	4076
6	41	4093
7	47	4138
8	53	4114
9	58	4058
10	64	4022
11	69	3983
12	74	3948
13	80	3928
14	85	3911
15	91	3908
16	96	3887
17	102	3892
18	108	3881
19	114	3876
20	119	3862
21	124	3847
22	130	3830
23	135	3807
24	140	3796
25	145	3773
26	150	3761
27	156	3748
28	161	3732
29	166	3725
30	172	3719
31	177	3710
32	184	3726
33	189	3718
34	196	3725
35	202	3730
36	209	3746
37	215	3750
38	220	3745
39	226	3737
40	232	3732
41	238	3730
42	243	3723
43	249	3713
44	254	3708
45	260	3701
46	265	3685
47	271	3684
48	276	3674
49	281	3665
50	287	3660
51	293	3653
52	298	3649
53	304	3642
54	309	3633
55	314	3621
56	320	3618
57	326	3608
58	331	3600
59	336	3591
60	341	3582
61	347	3572
62	352	3565
63	358	3559
64	363	3553
65	370	3554
66	375	3548
67	381	3543
68	386	3536
69	392	3534
70	399	3537
71	405	3534
72	410	3528
73	416	3522
74	421	3514
75	426	3498
76	431	3493
77	437	3485
78	442	3477
79	447	3469
80	453	3463
81	458	3454
82	464	3449
83	469	3442
84	475	3437
85	480	3429
86	485	3422
87	491	3415
88	496	3410
89	502	3403
90	507	3394
91	513	3394
92	519	3392
93	525	3390
94	532	3392
95	539	3391
96	544	3385
97	549	3377
98	555	3371
99	561	3366
100	566	3359
101	571	3353
102	577	3346
103	582	3339
104	588	3333
105	594	3329
106	599	3323
107	605	3317
108	610	3309
109	615	3301
110	621	3295
111	626	3287
112	631	3279
113	636	3272
114	642	3266
115	647	3260
116	653	3255
117	658	3249
118	664	3243
119	669	3238
120	675	3231
121	680	3226
122	686	3219
123	692	3214
124	697	3208
125	702	3202
126	708	3196
127	714	3191
128	719	3184
129	731	3207
130	737	3201
131	743	3197
132	748	3190
133	753	3183
134	759	3176
135	764	3170
136	769	3163
137	775	3158
138	781	3152
139	786	3145
140	792	3143
141	798	3138
142	803	3131
143	809	3124
144	814	3117
145	820	3111
146	825	3104
147	830	3097
148	836	3092
149	841	3086
150	847	3079
151	852	3073
152	857	3066
153	862	3059
154	868	3052
155	873	3046
156	878	3039
157	884	3032
158	887	3019
159	891	3010
160	897	3003
161	902	2998
162	908	2992
163	914	2987
164	920	2983
165	926	2978
166	931	2974
167	937	2969
168	943	2964
169	949	2960
170	956	2957
171	962	2953
172	967	2948
173	974	2944
174	980	2941
175	986	2938
176	993	2936
177	1001	2935
178	1008	2935
179	1014	2931
180	1021	2928
181	1027	2925
182	1033	2920
183	1040	2916
184	1045	2910
185	1050	2903
186	1056	2897
187	1061	2891
188	1066	2883
189	1072	2877
190	1077	2871
191	1083	2865
192	1088	2859
193	1094	2853
194	1099	2848
195	1105	2843
196	1111	2837
197	1116	2831
198	1122	2827
199	1128	2821
200	1134	2817
201	1141	2813
202	1147	2808
203	1153	2804
204	1159	2799
205	1165	2794
206	1170	2788
207	1176	2783
208	1182	2779
209	1188	2773
210	1194	2768
211	1201	2764
212	1206	2759
213	1212	2753
214	1217	2747
215	1223	2741
216	1229	2736
217	1235	2731
218	1241	2726
219	1247	2721
220	1252	2715
221	1258	2710
222	1264	2705
223	1270	2700
224	1277	2696
225	1283	2691
226	1290	2688
227	1296	2684
228	1302	2678
229	1308	2673
230	1314	2668
231	1320	2664
232	1327	2659
233	1333	2654
234	1339	2650
235	1345	2645
236	1351	2640
237	1357	2635
238	1363	2629
239	1369	2624
240	1374	2617
241	1380	2612
242	1386	2608
243	1392	2603
244	1398	2597
245	1405	2594
246	1412	2589
247	1418	2584
248	1424	2580
249	1430	2575
250	1436	2570
251	1442	2565
252	1448	2560
253	1454	2554
254	1461	2549
255	1467	2544
256	1473	2539
257	1479	2535
258	1485	2528
259	1490	2522
260	1495	2515
261	1501	2509
262	1507	2504
263	1513	2500
264	1519	2494
265	1525	2489
266	1531	2484
267	1538	2479
268	1543	2473
269	1549	2468
270	1555	2462
271	1561	2456
272	1566	2450
273	1572	2444
274	1577	2438
275	1583	2432
276	1589	2426
277	1594	2420
278	1600	2414
279	1606	2409
280	1611	2403
281	1617	2397
282	1622	2390
283	1627	2384
